title,url,used_url,body_len,label,confidence,evidence,aspects,lex_margin,lex_hits_pos_n,lex_hits_neg_n,trig_pos,trig_neg,impact_score,impact_tier,impact_why,sent_score,label_int,model_used,simhash64,reused_from_cluster,domain,date
President Obama leaves office with high worldwide approval ratings - Ipsos,https://news.google.com/rss/articles/CBMikwFBVV95cUxOemJqb1VDZzdDUV9mYm56MDEtUXQwTzMwOUhUbDFTWDBlQlUwakRtbkJmR3RETm5FOVE1UFY1QnZGWG9nU2VsbGFuaTRSOGU3MV9pZVFaQVZMQ3dYT0U4eHhDOG0wTjI0NC1ldzg4Ry1yZkhJcWJyTmhJUm42YUFxa0w3aFN3V2FVT1dMeW14TDlTVmM?oc=5,https://news.google.com/rss/articles/CBMikwFBVV95cUxOemJqb1VDZzdDUV9mYm56MDEtUXQwTzMwOUhUbDFTWDBlQlUwakRtbkJmR3RETm5FOVE1UFY1QnZGWG9nU2VsbGFuaTRSOGU3MV9pZVFaQVZMQ3dYT0U4eHhDOG0wTjI0NC1ldzg4Ry1yZkhJcWJyTmhJUm42YUFxa0w3aFN3V2FVT1dMeW14TDlTVmM?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.78,approval,[],1.6,1,0,approval,,0.418,medium,lex=0.80; conf=0.78; novelty,0.78,1,gpt-4o-mini,16750925335026365387,0,news.google.com,2017-01-21
President Obama’s Approval Ratings - Ipsos,https://news.google.com/rss/articles/CBMivgFBVV95cUxOVzVRZjBYay1yLUJielhmWS03NnlScTJtYTE0Y2VKc2lNaWxpUzhsV085aFpiaG5lOHJuNmh6cDBSazFFQlExUTh2TjRHaEE2Ykw0XzlkZm5IZTJKZVJrRnkyNmJ0N2doMEJRaW51M1N4UHhXZ3NhZ3ZkWVpHWEFQRndTS0M1eGk1dFA4WFVBOEFEZXNjYlhtWndpakN1YnAwY2FUWE1lejNrbTVoSm9tTEdqTERETWg3VE15aHVR?oc=5,https://news.google.com/rss/articles/CBMivgFBVV95cUxOVzVRZjBYay1yLUJielhmWS03NnlScTJtYTE0Y2VKc2lNaWxpUzhsV085aFpiaG5lOHJuNmh6cDBSazFFQlExUTh2TjRHaEE2Ykw0XzlkZm5IZTJKZVJrRnkyNmJ0N2doMEJRaW51M1N4UHhXZ3NhZ3ZkWVpHWEFQRndTS0M1eGk1dFA4WFVBOEFEZXNjYlhtWndpakN1YnAwY2FUWE1lejNrbTVoSm9tTEdqTERETWg3VE15aHVR?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.72,approval,[],1.28,1,0,approval,,0.295,weak,lex=0.64; conf=0.72; pen:low_relevance; novelty,0.72,1,gpt-4o-mini,16753231956081308649,0,news.google.com,2017-01-22
Microsoft reaches out to its workers affected by immigration ban - The Seattle Times,https://news.google.com/rss/articles/CBMiswFBVV95cUxQeWNyX1JSOEdhbm5CdFEtMFlxYVF2MVZwaXRBZG1mdmQ5bkJpbkotMTJfZTJaVHhib3pxX3EzOXVfemIySXlXVWEtZ2VnX3pKZjhmU0taSmZJZUFtVXZtWkRwS2lsQlpCSXd2RWhZWllxMnJLd1NPMVdsRHk0bmF1YTZvM1pjQ3JJNC1Ea2lVS3MtUnFuUVpfVER5LTJzTWNVUUxfWVRMZHY1RnVjdUlwdmlqTQ?oc=5,https://news.google.com/rss/articles/CBMiswFBVV95cUxQeWNyX1JSOEdhbm5CdFEtMFlxYVF2MVZwaXRBZG1mdmQ5bkJpbkotMTJfZTJaVHhib3pxX3EzOXVfemIySXlXVWEtZ2VnX3pKZjhmU0taSmZJZUFtVXZtWkRwS2lsQlpCSXd2RWhZWllxMnJLd1NPMVdsRHk0bmF1YTZvM1pjQ3JJNC1Ea2lVS3MtUnFuUVpfVER5LTJzTWNVUUxfWVRMZHY1RnVjdUlwdmlqTQ?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,168761685352994353,0,news.google.com,2017-01-27
"Microsoft, Uber, Apple, Google: How the tech world responded to Trump's immigration ban - USA Today",https://news.google.com/rss/articles/CBMirgFBVV95cUxNUHE5b3RRbWh0ZUVNcURMTmlhNG9kVWNaRUFpcUxiYjN0UXJHUm53V3pKaTVQbWhrMkY4eEN3dDNHZ0JjcDdhUFJQMUdHcHlyNXFqVndCak9MNVBTT1BZMFVQbTdTRk92Szc3NXQzZjd4SDF0OGt5SDBlQVRncWNPeVNRTjJNLUs4MU11ZjJVNDJKSTBuSVhuYXgyaWRRUmhjNko3ZGVDNlJUcnlXenc?oc=5,https://news.google.com/rss/articles/CBMirgFBVV95cUxNUHE5b3RRbWh0ZUVNcURMTmlhNG9kVWNaRUFpcUxiYjN0UXJHUm53V3pKaTVQbWhrMkY4eEN3dDNHZ0JjcDdhUFJQMUdHcHlyNXFqVndCak9MNVBTT1BZMFVQbTdTRk92Szc3NXQzZjd4SDF0OGt5SDBlQVRncWNPeVNRTjJNLUs4MU11ZjJVNDJKSTBuSVhuYXgyaWRRUmhjNko3ZGVDNlJUcnlXenc?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,11524442951746904378,0,news.google.com,2017-01-27
Dangal box-office collection: Here's proof that Aamir Khan is a pro at breaking records - Times of India,https://news.google.com/rss/articles/CBMijgJBVV95cUxONjk2bmJYVVcxVGI5TFY5SElTZXUxeGNTOFVMMUU0cU1qQmRvZzVVR0x5WHdTR1U3cVd4U3Z6YklmWjhBMGhrT2tKZE5uVjNkLVEzbXd0ZmNyLVp1dHZBMjhkbldkb2QySWk3Tm5MQWJyQi1feWY2bHkza0pmcUVqbWEyY2xKM3YzTFUtUlhxY1ZqQUoySmh4bHFVSmh0a0tBeU5PNzJKbDZkcjI5NFlYaUZCSlV5MWJyMWN3djN4czFoeENaT1U5WUo3SFpZdzg1Wk9qYkYtNndtdDZsMG9wZndzQ3gybHE3WHhjUFRnTzFRME9tMTRSVWRURnM0cWJRVGtSZnlCeDM0WXhQc2fSAZMCQVVfeXFMT3B2cERKTGU1ZmdUOXdvZ2piTUtIUGR5bWoySXpKRHZoRlRfV2pWTndKU3hfdzBrM1VJU3lNbi00NjlGZUgtQVZSejhma0FDd3V2UWJ3d25nVHpoNFNjUVNsMDVjczktQXM3RV9JVGM2a25rVTJ1ZkxKSHpSazM3OE96ajA1b2o0YzZUVDRNYW9Wc2F5OFpyaGg1Zi1SbXZwNVNnb3d4WFFLUEtvTDBKN2tIbzEwVWRIcE9hUnVGTHFCVl9vbTJERHRqdUdXMXhpOEE5YnNRQVpxazdQSnBDTlN4eG5Ycm1LeE9DT201QVZQNUNXd1hBOHdfUkwxY0JQc09HVjZlWWxadWw1NEJQbEZTSjg?oc=5,https://news.google.com/rss/articles/CBMijgJBVV95cUxONjk2bmJYVVcxVGI5TFY5SElTZXUxeGNTOFVMMUU0cU1qQmRvZzVVR0x5WHdTR1U3cVd4U3Z6YklmWjhBMGhrT2tKZE5uVjNkLVEzbXd0ZmNyLVp1dHZBMjhkbldkb2QySWk3Tm5MQWJyQi1feWY2bHkza0pmcUVqbWEyY2xKM3YzTFUtUlhxY1ZqQUoySmh4bHFVSmh0a0tBeU5PNzJKbDZkcjI5NFlYaUZCSlV5MWJyMWN3djN4czFoeENaT1U5WUo3SFpZdzg1Wk9qYkYtNndtdDZsMG9wZndzQ3gybHE3WHhjUFRnTzFRME9tMTRSVWRURnM0cWJRVGtSZnlCeDM0WXhQc2fSAZMCQVVfeXFMT3B2cERKTGU1ZmdUOXdvZ2piTUtIUGR5bWoySXpKRHZoRlRfV2pWTndKU3hfdzBrM1VJU3lNbi00NjlGZUgtQVZSejhma0FDd3V2UWJ3d25nVHpoNFNjUVNsMDVjczktQXM3RV9JVGM2a25rVTJ1ZkxKSHpSazM3OE96ajA1b2o0YzZUVDRNYW9Wc2F5OFpyaGg1Zi1SbXZwNVNnb3d4WFFLUEtvTDBKN2tIbzEwVWRIcE9hUnVGTHFCVl9vbTJERHRqdUdXMXhpOEE5YnNRQVpxazdQSnBDTlN4eG5Ycm1LeE9DT201QVZQNUNXd1hBOHdfUkwxY0JQc09HVjZlWWxadWw1NEJQbEZTSjg?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,record,[],0.0,0,0,record,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,3588965686727230564,0,news.google.com,2017-01-28
"Variation in the urban vegetation, surface temperature, air temperature nexus - ScienceDirect.com",https://news.google.com/rss/articles/CBMidkFVX3lxTE5MaHR6VVVHaWk4OEFCZkxlb2RLd3pnV244Y2RXRG9HbXRoMXBDUWNZXzA2a1RhdEpSTDFfQkhFV3hWVXZKZTRJbFRCaG8wMjM4RElHNzdOQVdQUXJzVV9VQlRnMUQwc2RkTy0wR3Q0dWttazZBeGc?oc=5,https://news.google.com/rss/articles/CBMidkFVX3lxTE5MaHR6VVVHaWk4OEFCZkxlb2RLd3pnV244Y2RXRG9HbXRoMXBDUWNZXzA2a1RhdEpSTDFfQkhFV3hWVXZKZTRJbFRCaG8wMjM4RElHNzdOQVdQUXJzVV9VQlRnMUQwc2RkTy0wR3Q0dWttazZBeGc?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,ban,[],0.0,0,0,,ban,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,5037798845554603475,0,news.google.com,2017-01-31
‘Split’ Tops Box Office Again as ‘Rings’ Falters (Published 2017) - The New York Times,https://news.google.com/rss/articles/CBMilgFBVV95cUxNNEtYVWJmSEhycEJqa2NNWUpZejUwaWNXeE1wNDN2Y0djZDFMMlR0dmdnZmhibTdNMWlucmdUVXU0M0dNTHNwUEtpZTU5TnFyYXF0SjNDZGctZnZlTDBwTFg4cVh0S2ZuSFRlUW9faGVMTDlQMTg5OTBJMmtCUEUwcWVfcEZ5R2dnYjhxbXRsSEJMMkV2WHc?oc=5,https://news.google.com/rss/articles/CBMilgFBVV95cUxNNEtYVWJmSEhycEJqa2NNWUpZejUwaWNXeE1wNDN2Y0djZDFMMlR0dmdnZmhibTdNMWlucmdUVXU0M0dNTHNwUEtpZTU5TnFyYXF0SjNDZGctZnZlTDBwTFg4cVh0S2ZuSFRlUW9faGVMTDlQMTg5OTBJMmtCUEUwcWVfcEZ5R2dnYjhxbXRsSEJMMkV2WHc?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,tops,[],0.0,0,0,tops,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,1675211337968341343,0,news.google.com,2017-02-04
Unravelling surface and interfacial structures of a metal–organic framework by transmission electron microscopy - Nature,https://news.google.com/rss/articles/CBMiUkFVX3lxTE5keVEtVUllQm11S3U4dUhIemRHZDlobWd6ejlHaEhZeEdKLUp0bW92aXZ5QWVfTVpkU3lCa1pna3dLTTF5eDExdnJPMFhrcDJaNnc?oc=5,https://news.google.com/rss/articles/CBMiUkFVX3lxTE5keVEtVUllQm11S3U4dUhIemRHZDlobWd6ejlHaEhZeEdKLUp0bW92aXZ5QWVfTVpkU3lCa1pna3dLTTF5eDExdnJPMFhrcDJaNnc?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,miss,[],0.0,0,0,,miss,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,8902253396551431908,0,news.google.com,2017-02-19
Kubernetes now Generally Available on Azure Container Service - Microsoft Azure,https://news.google.com/rss/articles/CBMiowFBVV95cUxQRmo0UzNpcEZqdnZwMF9TQzJDRlVxOHZFYTZTUzY4djZpY2Y5UE84Z2ZsYkN6b1oycUEtZ1R3SUJuS0NMZ0hTbGFtX0tuTEhCVm1BNUlIRndJaWo0dWNpcTRSeTNzNWhRcEJyZGh1VmFIRDAxVVJSN29JWFV0UjdvdHFHYklLQW9WTGVSSzg2empjY0JUMWpPUnZsSlMwanpKQkFR?oc=5,https://news.google.com/rss/articles/CBMiowFBVV95cUxQRmo0UzNpcEZqdnZwMF9TQzJDRlVxOHZFYTZTUzY4djZpY2Y5UE84Z2ZsYkN6b1oycUEtZ1R3SUJuS0NMZ0hTbGFtX0tuTEhCVm1BNUlIRndJaWo0dWNpcTRSeTNzNWhRcEJyZGh1VmFIRDAxVVJSN29JWFV0UjdvdHFHYklLQW9WTGVSSzg2empjY0JUMWpPUnZsSlMwanpKQkFR?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.78,\bsurges?|soars?|rall(y|ies)|jumps?|spikes?\b,[],1.4,1,0,,,0.381,weak,lex=0.70; conf=0.78; novelty,0.78,1,gpt-4o-mini,8913568038059894211,0,news.google.com,2017-02-20
Microsoft CEO Satya Nadella says Bill Gates' original mission 'always bothered me' - Yahoo Finance,https://news.google.com/rss/articles/CBMihAFBVV95cUxNM3lHT2hHd2owN2V3TWFCa2I3cFBQQWRsQkhwQ0NSdkJuRGV6NE16djRzOUZ2TG9RYXA5dXoydFkwWWtLOEc2SmJVRnQyRm13NXlEby15VHczQVAwdzN6SzRZVU8ySmkzbU9tRDJRalNmZHJRQkxZSHlubU9Lek1XclhodmE?oc=5,https://news.google.com/rss/articles/CBMihAFBVV95cUxNM3lHT2hHd2owN2V3TWFCa2I3cFBQQWRsQkhwQ0NSdkJuRGV6NE16djRzOUZ2TG9RYXA5dXoydFkwWWtLOEc2SmJVRnQyRm13NXlEby15VHczQVAwdzN6SzRZVU8ySmkzbU9tRDJRalNmZHJRQkxZSHlubU9Lek1XclhodmE?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,miss,[],0.0,0,0,,miss,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,17948356744932908477,0,news.google.com,2017-02-20
"Battle of the Classrooms: Apple, Google, Microsoft Vie for K-12 Market - EdSurge",https://news.google.com/rss/articles/CBMiqwFBVV95cUxPQnM2V3p4d0kzY2hPWW56RTN2dURvTl95NW9TLTZKa0lfZThGVkRDT1pEamdqWjBiQzRfOFdDekNqdmIxdGt5NjFpNDJSNWtRNVl5eGtmMHdaalhSYk9adGl0cHBpTGk1VzJ0enlMN0RFclByR2NCZU1jd3dDOGtHb0dUendCekU2al9ScXFYWG9Rc0dfWU9wcm9fLWhxRUlOc1Q3MVNBQ3VTOVU?oc=5,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPQnM2V3p4d0kzY2hPWW56RTN2dURvTl95NW9TLTZKa0lfZThGVkRDT1pEamdqWjBiQzRfOFdDekNqdmIxdGt5NjFpNDJSNWtRNVl5eGtmMHdaalhSYk9adGl0cHBpTGk1VzJ0enlMN0RFclByR2NCZU1jd3dDOGtHb0dUendCekU2al9ScXFYWG9Rc0dfWU9wcm9fLWhxRUlOc1Q3MVNBQ3VTOVU?oc=5&hl=en-US&gl=US&ceid=US:en,0,bullish,0.6,surge,[],0.0,0,0,surge,,0.16,weak,conf=0.60; novelty,0.6,1,gpt-4o-mini,4215791522830079355,0,news.google.com,2017-02-21
How to Disable the Windows 10 Startup Delay - Laptop Mag,https://news.google.com/rss/articles/CBMidkFVX3lxTE1oYkJZLTdwaG9BUkpNU0dLQlFHRUluMTE3ZFFpTVhHWWpRZVZBT2paXzQ5WWpMZ2NCdVlRbC1mQVJheUdzbEFfdEd3bzRHWm9IU1lseEdhOHlxTUpGY3BGdUh1WC0yMzMzZkIzOTdsVEpiU1VhZWc?oc=5,https://news.google.com/rss/articles/CBMidkFVX3lxTE1oYkJZLTdwaG9BUkpNU0dLQlFHRUluMTE3ZFFpTVhHWWpRZVZBT2paXzQ5WWpMZ2NCdVlRbC1mQVJheUdzbEFfdEd3bzRHWm9IU1lseEdhOHlxTUpGY3BGdUh1WC0yMzMzZkIzOTdsVEpiU1VhZWc?oc=5&hl=en-US&gl=US&ceid=US:en,0,bearish,0.6,delay,[],0.0,0,0,,delay,0.16,weak,conf=0.60; novelty,-0.6,-1,gpt-4o-mini,18260768220776725773,0,news.google.com,2017-02-24
